 #          x          v(x)          u(x)          log(x)          epsilon
  0.99980001999800017        1.9988002464876853E-004   1.9988004129909963E-004  -8.6858896670194449E-005  -7.0793465564797939     
  0.99970002999700025        2.9981996877330815E-004   2.9981999374885165E-004  -1.3029486029127207E-004  -7.0793456430067421     
  0.99960003999600044        3.9975986737063324E-004   3.9975990067116338E-004  -1.7373516859484146E-004  -7.0793480810613350     
  0.99950004999500053        4.9969972039519851E-004   4.9969976202093337E-004  -2.1717982245023979E-004  -7.0793472289140817     
  0.99940005999400061        5.9963952780141283E-004   5.9963957775234879E-004  -2.6062882272692050E-004  -7.0793466593559238     
  0.99930006999300069        6.9957928954363958E-004   6.9957934781955070E-004  -3.0408217029464618E-004  -7.0793479080269686     
  0.99920007999200078        7.9951900557619668E-004   7.9951907217730108E-004  -3.4753986602344058E-004  -7.0793473972380276     
  0.99910008999100086        8.9945867585335603E-004   8.9945875077964994E-004  -3.9100191078358866E-004  -7.0793469998606895     
  0.99900009999000094        9.9939830032934394E-004   9.9939838358060139E-004  -4.3446830544563664E-004  -7.0793478407492341     
  0.99890010998900114        1.0993378789583407E-003   1.0993379705347803E-003  -4.7793905088034381E-004  -7.0793474740609055     
  0.99880011998800122        1.1992774116944814E-003   1.1992775115960991E-003  -5.2141414795887605E-004  -7.0793471688359828     
  0.99870012998700131        1.2992168984918544E-003   1.2992170067184245E-003  -5.6489359755251573E-004  -7.0793478019007612     
  0.99860013998600139        1.3991563393045028E-003   1.3991564558562433E-003  -6.0837740053285526E-004  -7.0793475174168243     
  0.99850014998500147        1.4990957340864236E-003   1.4990958589633308E-003  -6.5186555777174942E-004  -7.0793472703489240     
  0.99840015998400156        1.5990350827915676E-003   1.5990352159934154E-003  -6.9535807014131407E-004  -7.0793477790418633     
  0.99830016998300175        1.6989743853738396E-003   1.6989745269008461E-003  -7.3885493851387929E-004  -7.0793475467026070     
  0.99820017998200183        1.7989136417870981E-003   1.7989137916392596E-003  -7.8235616376218231E-004  -7.0793473397161213     
  0.99810018998100192        1.8988528519851560E-003   1.8988530101622463E-003  -8.2586174675907753E-004  -7.0793477649095280     
  0.99800019998000200        1.9987920159217788E-003   1.9987921824240165E-003  -8.6937168837773000E-004  -7.0793475674138042     
  0.99790020997900208        2.0987311335506874E-003   2.0987313083780683E-003  -9.1288598949156713E-004  -7.0793473899178618     
  0.99780021997800217        2.1986702048255547E-003   2.1986703879778532E-003  -9.5640465097427915E-004  -7.0793477541449441     
  0.99770022997700225        2.2986092297000086E-003   2.2986094211774433E-003  -9.9992767369981865E-004  -7.0793475821780145     
  0.99760023997600245        2.3985482081276301E-003   2.3985484079301969E-003  -1.0434550585423532E-003  -7.0793474246156398     
  0.99750024997500253        2.4984871400619540E-003   2.4984873481894267E-003  -1.0869868063764576E-003  -7.0793477439608736     
  0.99740025997400261        2.5984260254564681E-003   2.5984262419090653E-003  -1.1305229180768252E-003  -7.0793475924094693     
  0.99730026997300270        2.6983648642646143E-003   2.6983650890423320E-003  -1.1740633945184601E-003  -7.0793474521273891     
  0.99720027997200278        2.7983036564397869E-003   2.7983038895423992E-003  -1.2176082365766305E-003  -7.0793477355919965     
  0.99710028997100286        2.8982424019353349E-003   2.8982426433630600E-003  -1.2611574451268672E-003  -7.0793476001068338     
  0.99700029997000295        2.9981811007045596E-003   2.9981813504573939E-003  -1.3047110210449647E-003  -7.0793474729185757     
  0.99690030996900314        3.0981197527007167E-003   3.0981200107784339E-003  -1.3482689652069321E-003  -7.0793477283349269     
