 #          x          v(x)          u(x)          log(x)          epsilon
  0.99800199800199796        1.9969784665303260E-003   1.9969950748400340E-003  -8.6858925333635083E-004  -5.0800515589093198     
  0.99700299700299699        2.9954607892217428E-003   2.9954857016288839E-003  -1.3035361919475354E-003  -5.0800515579951773     
  0.99600399600399603        3.9939384431392343E-003   3.9939716596048697E-003  -1.7389191676629103E-003  -5.0800515589765816     
  0.99500499500499495        4.9924113814079534E-003   4.9924529018928630E-003  -2.1747390556199320E-003  -5.0800515595779938     
  0.99400599400599399        5.9908795566824234E-003   5.9909293811471077E-003  -2.6109967335931940E-003  -5.0800515589954331     
  0.99300699300699302        6.9893429211418164E-003   6.9894010495461546E-003  -3.0476930820053220E-003  -5.0800515594047768     
  0.99200799200799206        7.9878014264851815E-003   7.9878678587888708E-003  -3.4848289839374434E-003  -5.0800515589987292     
  0.99100899100899098        8.9862550239266197E-003   8.9863297600887345E-003  -3.9224053251399969E-003  -5.0800515593102240     
  0.99000999000999002        9.9847036641904190E-003   9.9847867041698412E-003  -4.3604229940433096E-003  -5.0800515589877664     
  0.98901098901098905        1.0983147297506138E-002   1.0983238641261226E-002  -4.7988828817687084E-003  -5.0800515587270478     
  0.98801198801198797        1.1981585873603632E-002   1.1981685521092104E-002  -5.2377858821392514E-003  -5.0800515594727402     
  0.98701298701298701        1.2980019341708041E-002   1.2980127292887639E-002  -5.6771328916905214E-003  -5.0800515592100108     
  0.98601398601398604        1.3978447650534723E-002   1.3978563905362429E-002  -6.1169248096818955E-003  -5.0800515593935236     
  0.98501498501498497        1.4976870748284134E-002   1.4976995306716720E-002  -6.5571625381074510E-003  -5.0800515591638300     
  0.98401598401598400        1.5975288582636658E-002   1.5975421444630350E-002  -6.9978469817069140E-003  -5.0800515589622490     
  0.98301698301698304        1.6973701100747387E-002   1.6973842266257859E-002  -7.4389790479771145E-003  -5.0800515591288313     
  0.98201798201798207        1.7972108249240847E-002   1.7972257718223555E-002  -7.8805596471829935E-003  -5.0800515589474990     
  0.98101898101898100        1.8970509974205671E-002   1.8970667746615502E-002  -8.3225896923689834E-003  -5.0800515588052164     
  0.98001998001998003        1.9968906221189207E-002   1.9969072296980386E-002  -8.7650700993701265E-003  -5.0800515592447502     
  0.97902097902097907        2.0967296935192108E-002   2.0967471314318840E-002  -9.2080017868237645E-003  -5.0800515590869999     
  0.97802197802197799        2.1965682060662822E-002   2.1965864743078520E-002  -9.6513856761808285E-003  -5.0800515592038558     
  0.97702297702297702        2.2964061541492060E-002   2.2964252527149891E-002  -1.0095222691717200E-002  -5.0800515590585169     
  0.97602397602397606        2.3962435321007183E-002   2.3962634609859729E-002  -1.0539513760545554E-002  -5.0800515589268169     
  0.97502497502497498        2.4960803341966566E-002   2.4961010933965827E-002  -1.0984259812626844E-002  -5.0800515590305597     
  0.97402597402597402        2.5959165546553867E-002   2.5959381441651577E-002  -1.1429461780781828E-002  -5.0800515589127144     
  0.97302697302697305        2.6957521876372268E-002   2.6957746074519451E-002  -1.1875120600703101E-002  -5.0800515590281226     
  0.97202797202797198        2.7955872272438634E-002   2.7956104773585937E-002  -1.2321237210966752E-002  -5.0800515591418840     
  0.97102897102897101        2.8954216675177634E-002   2.8954457479275331E-002  -1.2767812553044072E-002  -5.0800515590363595     
  0.97002997002997005        2.9952555024415808E-002   2.9952804131413439E-002  -1.3214847571313771E-002  -5.0800515591372584     
  0.96903096903096908        3.0950887259375545E-002   3.0951144669222365E-002  -1.3662343213073767E-002  -5.0800515590517845     
  0.96803196803196800        3.1949213318669012E-002   3.1949479031313559E-002  -1.4110300428553326E-002  -5.0800515591367672     
  0.96703296703296704        3.2947533140292050E-002   3.2947807155682553E-002  -1.4558720170924969E-002  -5.0800515590488091     
  0.96603396603396607        3.3945846661617970E-002   3.3946128979702027E-002  -1.5007603396316949E-002  -5.0800515589732900     
  0.96503496503496500        3.4944153819391303E-002   3.4944444440115886E-002  -1.5456951063825317E-002  -5.0800515590562219     
  0.96403596403596403        3.5942454549721489E-002   3.5942753473033148E-002  -1.5906764135526073E-002  -5.0800515591273676     
  0.96303696303696307        3.6940748788076509E-002   3.6941056013921253E-002  -1.6357043576487852E-002  -5.0800515591940973     
  0.96203796203796199        3.7939036469276440E-002   3.7939351997599846E-002  -1.6807790354784146E-002  -5.0800515591027828     
  0.96103896103896103        3.8937317527486935E-002   3.8937641358233924E-002  -1.7259005441505684E-002  -5.0800515590153381     
  0.96003996003996006        3.9935591896212680E-002   3.9935924029327496E-002  -1.7710689810773270E-002  -5.0800515590884485     
  0.95904095904095910        4.0933859508290725E-002   4.0934199943717296E-002  -1.8162844439750202E-002  -5.0800515590049837     
  0.95804195804195802        4.1932120295883821E-002   4.1932469033565269E-002  -1.8615470308655051E-002  -5.0800515590759110     
  0.95704295704295705        4.2930374190473616E-002   4.2930731230352612E-002  -1.9068568400774220E-002  -5.0800515591459323     
  0.95604395604395609        4.3928621122853818E-002   4.3928986464872567E-002  -1.9522139702475055E-002  -5.0800515590835609     
  0.95504495504495501        4.4926861023123314E-002   4.4927234667223225E-002  -1.9976185203218578E-002  -5.0800515591494069     
  0.95404595404595405        4.5925093820679178E-002   4.5925475766801276E-002  -2.0430705895572297E-002  -5.0800515591013946     
  0.95304695304695308        4.6923319444209598E-002   4.6923709692294237E-002  -2.0885702775223506E-002  -5.0800515590358106     
  0.95204795204795201        4.7921537821686823E-002   4.7921936371673621E-002  -2.1341176840992251E-002  -5.0800515591024817     
