# cycles		brute force result		imp. sampling result	brute force sd				imp. sampling sd			brute force runtime			imp. sampling runtime
10000			0.17390370238207950		0.19833928837644826		5.0396072196770066E-002		1.1016962021517859E-002		1.1110000000000009E-003		4.5069999999999989E-003
100000			0.18331750627607804		0.19093969142972242		1.6420882133938441E-002		3.1330764194036510E-003		1.1143999999999987E-002		4.6063999999999994E-002
1000000			0.18484402980291373		0.19273893643257078		8.0703167970042119E-003		1.1068200514622046E-003		0.11107900000000015			0.45202200000000037
10000000		0.19223097906035816		0.19272611427069011		2.8282526275018203E-003		3.4264000744131618E-004		1.1099069999999998			4.5022440000000010
100000000		0.19233636534256779		0.19287509815663320		9.8653417200455845E-004		1.0492044769436883E-004		11.470521000000005			45.025495000000006
1000000000		0.19220642386184852		0.19278900996476270		3.1022189788010193E-004		3.2791230689773028E-005		111.04346300000000			449.93694800000003
